h3_9,dom_station,dom_violation,impact_score,veh_hours_day,cost_inr_day
8961892e9abffff,Shivajinagar,WRONG PARKING,96.86478876465114,14.911781456953642,3727.9453642384105
8961892e9bbffff,Shivajinagar,WRONG PARKING,96.69358204942948,15.586086092715231,3896.521523178808
8960145b323ffff,Rajajinagar,WRONG PARKING,96.35454113472174,2.13058940397351,532.6473509933775
89618920963ffff,HAL Old Airport,PARKING IN A MAIN ROAD,96.26414916480172,7.525324503311259,1881.3311258278147
89618925983ffff,Jayanagara,NO PARKING,95.83386453084032,1.1664900662251654,291.6225165562913
8960145b0cbffff,Sheshadripuram,NO PARKING,94.96697719532428,1.0553642384105961,263.841059602649
89618925b7bffff,Halasuru Gate,WRONG PARKING,94.87658368215656,4.884794701986754,1221.1986754966886
8960145b3b7ffff,Malleshwaram,WRONG PARKING,94.49538910915444,2.435066225165563,608.7665562913908
8960145b4dbffff,Shivajinagar,WRONG PARKING,94.23629739501676,1.1446556291390728,286.1639072847682
89618925b63ffff,Halasuru Gate,WRONG PARKING,94.1327353887903,3.50076821192053,875.1920529801325
8961892e9a3ffff,Shivajinagar,NO PARKING,94.1135625610415,3.140894039735099,785.2235099337747
8960145b5cbffff,Upparpet,NO PARKING,94.02861454725542,11.22471523178808,2806.1788079470202
8961892e937ffff,Shivajinagar,WRONG PARKING,93.76781242591936,8.769953642384106,2192.4884105960264
8961892e9afffff,Shivajinagar,WRONG PARKING,93.66285196181128,1.344112582781457,336.0281456953643
8960145b16bffff,Vijayanagara,WRONG PARKING,93.24376385776633,3.451562913907285,862.8907284768212
8961892536bffff,Jeevanbheemanagar,NO PARKING,93.06994262935424,0.8399668874172185,209.99172185430461
89618925c6fffff,Adugodi,NO PARKING,92.95930916908546,0.5929801324503311,148.24503311258277
8960145b5c3ffff,City Market,WRONG PARKING,92.7895268481666,1.2365496688741722,309.137417218543
8961892e923ffff,Shivajinagar,WRONG PARKING,92.51813063430114,1.8388344370860927,459.7086092715232
8960145b553ffff,Upparpet,NO PARKING,92.46318382583208,20.970344370860925,5242.586092715232
8961892ed47ffff,Jeevanbheemanagar,WRONG PARKING,92.43317998725736,0.5794039735099338,144.85099337748343
8960145b3a7ffff,Rajajinagar,WRONG PARKING,92.4277206469648,7.190794701986754,1797.6986754966886
8960145b5dbffff,Upparpet,NO PARKING,92.33671373166696,2.044794701986755,511.19867549668874
8961892ecbbffff,Jeevanbheemanagar,PARKING IN A MAIN ROAD,92.31230445041712,1.3851854304635762,346.29635761589407
8960145845bffff,Vijayanagara,WRONG PARKING,91.92837291593156,0.788476821192053,197.11920529801324
8960145b3afffff,Malleshwaram,WRONG PARKING,91.51792837508174,1.683139072847682,420.7847682119205
