h3_9,n_violations,n_days_active,mean_obstruct_w,mean_pcu,heavy_share,main_road_share,crossing_signal_share,footpath_share,junction_share,peak_share,am_peak_share,pm_peak_share,night_share,weekend_share,mean_expo,hour_entropy,modal_hour,approval_rate,scita_share,impact_sum,lat,lon,dom_station,dom_violation,active_days_ratio,vio_per_active_day,impact_per_violation,log_n
8960144a2cbffff,1,1,0.6,3.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,7.208210851958012e-07,6,1.0,1.0,0.8400000000000001,13.0715267,77.442553,No Police Station,WRONG PARKING,0.006622516556291391,1.0,0.8400000000000001,0.6931471805599453
8960144a2dbffff,4,1,0.6,2.875,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.9170527436668448e-07,6,1.0,1.0,2.7600000000000002,13.070772475,77.4438399,No Police Station,WRONG PARKING,0.006622516556291391,4.0,0.6900000000000001,1.6094379124341003
8960144a64bffff,3,1,0.6666666666666666,1.3,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,2.5242507776887836e-07,8,0.0,1.0,2.58,13.065641133333335,77.45335143333334,No Police Station,PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC,0.006622516556291391,3.0,0.86,1.3862943611198906
8960144b4dbffff,19,1,0.6,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,4.308018090988641e-08,5,1.0,1.0,1.14,13.085203484210528,77.48646901578948,Chikkabanavara,WRONG PARKING,0.006622516556291391,19.0,0.06,2.995732273553991
8960144b5a3ffff,14,7,0.6,2.1785714285714284,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.07142857142857142,0.32142857142857145,2.020244252339233,2,0.7777777777777778,0.8571428571428571,6.210000000000001,13.068091521428572,77.44880159285715,No Police Station,WRONG PARKING,0.046357615894039736,2.0,0.4435714285714286,2.70805020110221
8960144b5afffff,3,2,0.5666666666666667,3.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,1.5849627201014895,3,1.0,0.6666666666666666,1.855,13.069667666666666,77.4462186,No Police Station,WRONG PARKING,0.013245033112582781,1.5,0.6183333333333333,1.3862943611198906
8960144b5b3ffff,3,3,0.6,2.8333333333333335,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.5,1.58496272010149,3,0.0,0.6666666666666666,2.43,13.067148099999999,77.4515101,No Police Station,WRONG PARKING,0.019867549668874173,1.0,0.81,1.3862943611198906
89601451097ffff,1,1,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,7.208210851958012e-07,9,1.0,1.0,0.25,12.8778133,77.517105,Thalagattapura,NO PARKING,0.006622516556291391,1.0,0.25,0.6931471805599453
896014511cbffff,1,1,0.6,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,7.208210851958012e-07,6,0.0,0.0,0.288,12.8838377,77.5019219,Thalagattapura,WRONG PARKING,0.006622516556291391,1.0,0.288,0.6931471805599453
89601451207ffff,26,2,0.5153846153846154,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6923076923076923,0.7384615384615384,0.8904916699791022,11,0.21739130434782608,0.8846153846153846,4.92,12.909806665384615,77.51341474230769,Kengeri,NO PARKING,0.013245033112582781,13.0,0.18923076923076923,3.295836866004329
