h3_9,lat,lon,nearest_highway,road_criticality,hospital,market,retail,school,transit,n_poi,osm_context
8961892e9abffff,12.9816770912326,77.60784972772278,unclassified,0.3,0.0,0.0,0.0,1.0,0.0,1,"unclassified road, 1 school"
8961892e9bbffff,12.980889347426457,77.61016753457861,secondary,0.6,0.0,0.0,0.0,1.0,3.0,4,"secondary road, 1 school, 3 transit"
8960145b323ffff,13.00819037873444,77.54859851639004,residential,0.25,0.0,0.0,1.0,1.0,6.0,8,"residential road, 1 retail, 1 school, 6 transit"
89618920963ffff,12.939764515503825,77.69553100718927,trunk,0.9,0.0,0.0,0.0,0.0,0.0,0,trunk road
89618925983ffff,12.926502414588237,77.58572570211764,secondary,0.6,0.0,0.0,0.0,2.0,0.0,2,"secondary road, 2 school"
8960145b0cbffff,12.99665782871287,77.58414179207921,residential,0.25,0.0,0.0,0.0,1.0,1.0,2,"residential road, 1 school, 1 transit"
89618925b7bffff,12.964632851074256,77.58411570968714,secondary,0.6,1.0,0.0,0.0,1.0,2.0,4,"secondary road, 1 school, 1 hospital, 2 transit"
8960145b3b7ffff,12.998290824767691,77.5525136037809,secondary,0.6,3.0,0.0,1.0,0.0,3.0,7,"secondary road, 1 retail, 3 hospital, 3 transit"
8960145b4dbffff,12.980313721571653,77.60263798084905,tertiary,0.45,0.0,0.0,0.0,0.0,0.0,0,tertiary road
89618925b63ffff,12.963862300350057,77.58164655115154,primary,0.8,0.0,0.0,0.0,0.0,0.0,0,primary road
8961892e9a3ffff,12.97962000577045,77.60710223500317,tertiary,0.45,0.0,0.0,1.0,1.0,2.0,4,"tertiary road, 1 retail, 1 school, 2 transit"
8960145b5cbffff,12.97373525674976,77.5786676057273,residential,0.25,0.0,1.0,0.0,0.0,0.0,1,"residential road, 1 market"
8961892e937ffff,12.983854847842013,77.60335562822718,tertiary,0.45,0.0,0.0,0.0,3.0,13.0,16,"tertiary road, 3 school, 13 transit"
8961892e9afffff,12.980879838559863,77.60459825197239,tertiary,0.45,0.0,1.0,1.0,0.0,0.0,2,"tertiary road, 1 market, 1 retail"
8960145b16bffff,12.997517550868926,77.54900010240515,secondary,0.6,0.0,0.0,2.0,0.0,1.0,3,"secondary road, 2 retail, 1 transit"
8961892536bffff,12.966436543771044,77.64152168754208,primary,0.8,1.0,0.0,0.0,1.0,2.0,4,"primary road, 1 school, 1 hospital, 2 transit"
89618925c6fffff,12.93491819453125,77.6126630671875,residential,0.25,0.0,0.0,1.0,0.0,1.0,2,"residential road, 1 retail, 1 transit"
8960145b5c3ffff,12.97152617052692,77.57661924576573,tertiary,0.45,1.0,0.0,0.0,0.0,0.0,1,"tertiary road, 1 hospital"
8961892e923ffff,12.984545441531177,77.60317129133374,living_street,0.15,0.0,0.0,0.0,0.0,0.0,0,living_street road
8960145b553ffff,12.976630847034562,77.57630610766313,residential,0.25,0.0,0.0,2.0,0.0,0.0,2,"residential road, 2 retail"
8961892ed47ffff,12.978244654189943,77.62867716871509,secondary,0.6,1.0,0.0,0.0,2.0,1.0,4,"secondary road, 2 school, 1 hospital, 1 transit"
8960145b3a7ffff,12.999719557605784,77.54972175243967,tertiary,0.45,5.0,0.0,0.0,1.0,7.0,13,"tertiary road, 1 school, 5 hospital, 7 transit"
8960145b5dbffff,12.972779151724138,77.58047044954628,primary,0.8,0.0,0.0,0.0,0.0,1.0,1,"primary road, 1 transit"
8961892ecbbffff,12.971125029195957,77.64738325170676,secondary,0.6,1.0,0.0,1.0,0.0,0.0,2,"secondary road, 1 retail, 1 hospital"
8960145845bffff,12.987672307172296,77.5376342907542,secondary,0.6,1.0,0.0,0.0,1.0,0.0,2,"secondary road, 1 school, 1 hospital"
8960145b3afffff,13.002851512698411,77.55010605621693,tertiary,0.45,2.0,1.0,2.0,2.0,3.0,10,"tertiary road, 1 market, 2 retail, 2 school, 2 hospital, 3 transit"
8960145b49bffff,12.97138373584475,77.59758747248858,residential,0.25,0.0,0.0,1.0,0.0,0.0,1,"residential road, 1 retail"
8960145b5d3ffff,12.968540268291925,77.57957247503818,residential,0.25,0.0,1.0,0.0,0.0,0.0,1,"residential road, 1 market"
89618925363ffff,12.963613716283374,77.64143218255897,tertiary,0.45,1.0,0.0,0.0,0.0,1.0,2,"tertiary road, 1 hospital, 1 transit"
89618925913ffff,12.931557618786128,77.58376212947977,residential,0.25,0.0,1.0,3.0,0.0,1.0,5,"residential road, 1 market, 3 retail, 1 transit"
89618925c6bffff,12.936011521774194,77.61585163801843,residential,0.25,1.0,0.0,1.0,1.0,0.0,3,"residential road, 1 retail, 1 school, 1 hospital"
8960145844bffff,12.988813660811076,77.53758424409979,secondary,0.6,0.0,0.0,3.0,1.0,3.0,7,"secondary road, 3 retail, 1 school, 3 transit"
89618925b6fffff,12.96484813155883,77.57891700692142,residential,0.25,0.0,0.0,0.0,0.0,0.0,0,residential road
8961892598bffff,12.928476393617022,77.58579147234043,residential,0.25,0.0,0.0,1.0,3.0,1.0,5,"residential road, 1 retail, 3 school, 1 transit"
8960145b09bffff,12.987060974206347,77.5802997920635,residential,0.25,1.0,0.0,0.0,3.0,1.0,5,"residential road, 3 school, 1 hospital, 1 transit"
8960145b437ffff,12.975467770270267,77.58160687054054,tertiary,0.45,0.0,0.0,0.0,1.0,1.0,2,"tertiary road, 1 school, 1 transit"
8960145a24fffff,12.973552326849342,77.55094984768456,residential,0.25,1.0,0.0,1.0,1.0,2.0,5,"residential road, 1 retail, 1 school, 1 hospital, 2 transit"
8960145b5d7ffff,12.96758941959904,77.57786179735743,residential,0.25,0.0,0.0,0.0,0.0,0.0,0,residential road
8960145849bffff,12.972556655847686,77.53796540887652,tertiary,0.45,3.0,1.0,3.0,0.0,5.0,12,"tertiary road, 1 market, 3 retail, 3 hospital, 5 transit"
8961892e16bffff,12.996057936999968,77.6681954762887,primary,0.8,0.0,0.0,0.0,0.0,4.0,4,"primary road, 4 transit"
8961892e01bffff,12.995477173478308,77.69541439144045,primary,0.8,0.0,0.0,0.0,1.0,0.0,1,"primary road, 1 school"
8961892e927ffff,12.984546852857145,77.60130734714286,tertiary,0.45,1.0,0.0,0.0,1.0,1.0,3,"tertiary road, 1 school, 1 hospital, 1 transit"
8960145b32bffff,13.010832472013094,77.55032603256956,primary,0.8,1.0,0.0,0.0,0.0,0.0,1,"primary road, 1 hospital"
89618925b3bffff,12.957273590816326,77.58095280663265,residential,0.25,0.0,0.0,0.0,0.0,0.0,0,residential road
89601458497ffff,12.967736758014984,77.53594023499491,tertiary,0.45,3.0,0.0,0.0,0.0,2.0,5,"tertiary road, 3 hospital, 2 transit"
8960145b557ffff,12.97492496497462,77.57406469898477,primary,0.8,0.0,0.0,0.0,0.0,6.0,6,"primary road, 6 transit"
8960145b113ffff,12.984847421247474,77.55450062882784,residential,0.25,2.0,0.0,1.0,3.0,2.0,8,"residential road, 1 retail, 3 school, 2 hospital, 2 transit"
8961892ed4fffff,12.980475923873708,77.62972853869468,primary,0.8,0.0,0.0,0.0,0.0,0.0,0,primary road
8961892e4a7ffff,12.96902032118644,77.70090217118644,tertiary,0.45,0.0,0.0,0.0,1.0,0.0,1,"tertiary road, 1 school"
89618925d97ffff,12.908064980532446,77.60079472861896,trunk,0.9,0.0,0.0,2.0,1.0,1.0,4,"trunk road, 2 retail, 1 school, 1 transit"
896014584dbffff,12.978500272230328,77.54285772143396,primary,0.8,2.0,0.0,0.0,0.0,0.0,2,"primary road, 2 hospital"
89618920927ffff,12.932440275371745,77.68820705718736,tertiary,0.45,0.0,0.0,0.0,0.0,0.0,0,tertiary road
8961892598fffff,12.928850194551282,77.58266018814102,residential,0.25,2.0,0.0,0.0,1.0,2.0,5,"residential road, 1 school, 2 hospital, 2 transit"
8961892e0cfffff,12.99519819466644,77.69697424073881,primary,0.8,1.0,0.0,0.0,0.0,0.0,1,"primary road, 1 hospital"
89618925b6bffff,12.966189849668874,77.58195700728477,tertiary,0.45,0.0,0.0,0.0,0.0,0.0,0,tertiary road
896189259c7ffff,12.931774634193548,77.5860187716129,secondary,0.6,0.0,0.0,1.0,1.0,0.0,2,"secondary road, 1 retail, 1 school"
8961892ed73ffff,12.976016668216603,77.62625013407643,primary,0.8,1.0,0.0,0.0,1.0,4.0,6,"primary road, 1 school, 1 hospital, 4 transit"
8961892086bffff,12.951440219491683,77.71746003377889,tertiary,0.45,0.0,0.0,2.0,0.0,0.0,2,"tertiary road, 2 retail"
89618924e6fffff,12.905494204347828,77.58581746376812,secondary,0.6,3.0,0.0,0.0,0.0,2.0,5,"secondary road, 3 hospital, 2 transit"
89618920ac3ffff,12.963344852356984,77.73302956674964,tertiary,0.45,0.0,0.0,0.0,0.0,0.0,0,tertiary road
