h3_9,n_violations,n_days_active,mean_obstruct_w,mean_pcu,heavy_share,main_road_share,crossing_signal_share,footpath_share,junction_share,peak_share,am_peak_share,pm_peak_share,night_share,weekend_share,mean_expo,hour_entropy,modal_hour,approval_rate,scita_share,impact_sum,lat,lon,dom_station,dom_violation,active_days_ratio,vio_per_active_day,impact_per_violation,log_n,intensity_raw,vol_pct,intensity_pct,expo_pct,persist_pct,impact_score,impact_rank,why
8961892e9abffff,6667,149,0.5783560821958902,0.711324433778311,0.0010499475026248,0.023548822558872,0.0065996700164991,0.0041997900104994,1.0,0.5050247487625619,0.5050247487625619,0.0,0.0446977651117444,0.3845807709614519,0.8209689515524223,3.124497229111989,10,0.6502857142857142,0.9160041997900104,2251.679,12.9816770912326,77.60784972772278,Shivajinagar,WRONG PARKING,0.9867549668874172,44.74496644295302,0.3377349632518374,8.805075243870684,0.2536095344163136,0.9984214680347278,0.8875295974743489,0.9956590370955012,0.9978295185477506,96.86478876465114,1,very high volume · junction-adjacent · chronic (active most days) · peak-exposed
8961892e9bbffff,4257,140,0.5825463941743012,1.1409208362696734,0.0007047216349541,0.0089264740427531,0.0011745360582569,0.0065774019262391,0.9990603711533944,0.5142118863049095,0.5142118863049095,0.0,0.0234907211651397,0.4970636598543575,0.830584918957012,3.043312307682365,10,0.4943135662063363,0.8872445384073291,2353.499,12.980889347426457,77.61016753457861,Shivajinagar,WRONG PARKING,0.9271523178807948,30.40714285714286,0.5528538877143527,8.356554845453426,0.25162898085252555,0.9968429360694554,0.8847671665351223,0.9964483030781374,0.994672454617206,96.69358204942947,2,very high volume · junction-adjacent · chronic (active most days) · peak-exposed
8960145b323ffff,964,119,0.5848547717842323,0.787448132780083,0.0715767634854771,0.0103734439834024,0.0217842323651452,0.0020746887966804,1.0,0.6462655601659751,0.6462655601659751,0.0,0.187759336099585,0.2873443983402489,0.7781120331950208,2.668675776248142,10,0.746031746031746,0.8609958506224067,321.719,13.00819037873444,77.54859851639004,Rajajinagar,WRONG PARKING,0.7880794701986755,8.100840336134453,0.3337334024896266,6.872128101338986,0.2655450321331894,0.9763220205209155,0.9116022099447514,0.9818468823993686,0.9863851617995264,96.35454113472174,3,very high volume · junction-adjacent · chronic (active most days) · peak-exposed
89618920963ffff,1509,79,0.94519549370444,1.149502982107356,0.050364479787939,0.8813783962889331,0.0033134526176275,0.0145791915175613,0.0,0.5202120609675281,0.5202120609675281,0.0,0.2326043737574552,0.2001325381047051,0.6867461895294897,2.999100727537042,8,0.7291220556745182,0.9469847581179588,1136.324,12.939764515503825,77.69553100718927,HAL Old Airport,PARKING IN A MAIN ROAD,0.5231788079470199,19.10126582278481,0.7530311464546058,7.31986492980897,0.4932790396956725,0.9881610102604578,0.9976322020520916,0.920678768745067,0.9461325966850829,96.26414916480172,4,very high volume · main-road-heavy · chronic (active most days) · peak-exposed
89618925983ffff,425,82,0.647764705882353,0.8501176470588235,0.0047058823529411,0.2235294117647059,0.16,0.0258823529411764,1.0,0.4988235294117647,0.4988235294117647,0.0,0.148235294117647,0.3858823529411764,0.7465882352941177,3.2598146174590497,8,0.6086956521739131,0.8164705882352942,176.14,12.926502414588237,77.58572570211764,Jayanagara,NO PARKING,0.543046357615894,5.182926829268292,0.4144470588235294,6.054439346269371,0.3571054282706358,0.9431728492501973,0.9723756906077348,0.968034727703236,0.9500789265982637,95.83386453084032,5,very high volume · junction-adjacent · near crossing/signal · chronic (active most days) · peak-exposed
8960145b0cbffff,303,68,0.641914191419142,0.9306930693069309,0.0,0.0792079207920792,0.0165016501650165,0.0132013201320132,0.99009900990099,0.7293729372937293,0.7293729372937293,0.0,0.0165016501650165,0.3201320132013201,0.9066006600660066,2.587159359720738,10,0.6666666666666666,0.9207920792079208,159.36,12.99665782871287,77.58414179207921,Sheshadripuram,NO PARKING,0.4503311258278146,4.455882352941177,0.5259405940594059,5.717027701406222,0.3006736782674969,0.9210734017363852,0.9447513812154696,0.999605367008682,0.9350828729281768,94.96697719532429,6,very high volume · junction-adjacent · chronic · peak-exposed
89618925b7bffff,2653,132,0.5695062193742932,0.6977761025254429,0.0049001130795326,0.0271390878251036,0.0003769317753486,0.0007538635506973,1.0,0.4161326799849227,0.4153788164342254,0.0007538635506973,0.1926121372031662,0.2891066716924236,0.6985299660761403,3.276963556656108,10,0.602510460251046,0.8944591029023746,737.6039999999999,12.964632851074256,77.58411570968714,Halasuru Gate,WRONG PARKING,0.8741721854304636,20.098484848484848,0.2780263852242743,7.883823214892152,0.2490052051437201,0.994475138121547,0.8752959747434885,0.9388318863456985,0.9915153906866614,94.87658368215656,7,very high volume · junction-adjacent · chronic (active most days) · peak-exposed
8960145b3b7ffff,1429,124,0.5971308607417775,0.6536039188243526,0.0041987403778866,0.0097970608817354,0.0041987403778866,0.0,1.0,0.4030790762771168,0.4030790762771168,0.0,0.2050384884534639,0.3757872638208537,0.6745276417074877,3.4326702007921024,8,0.7137305699481865,0.8124562631210637,367.695,12.998290824767691,77.5525136037809,Malleshwaram,WRONG PARKING,0.8211920529801324,11.524193548387096,0.2573093072078376,7.265429723253953,0.2612167208462311,0.9873717442778216,0.9037095501183899,0.904104183109708,0.9883583267561168,94.49538910915443,8,very high volume · junction-adjacent · chronic (active most days) · peak-exposed
8960145b4dbffff,494,92,0.6107287449392712,0.8109311740890689,0.0040485829959514,0.0445344129554655,0.0020242914979757,0.0283400809716599,1.0,0.3360323886639676,0.3238866396761133,0.0121457489878542,0.1396761133603239,0.3724696356275304,0.6939271255060729,3.7155467163961937,7,0.6605166051660517,0.8906882591093117,172.843,12.980313721571653,77.60263798084905,Shivajinagar,WRONG PARKING,0.609271523178808,5.369565217391305,0.3498846153846153,6.20455776256869,0.2764501216224733,0.9506708760852407,0.9262036306235202,0.9301499605367008,0.9629044988161011,94.23629739501675,9,very high volume · junction-adjacent · chronic (active most days) · peak-exposed
89618925b63ffff,1329,125,0.5882618510158013,1.0419864559819412,0.0270880361173814,0.0361173814898419,0.0,0.000752445447705,1.0,0.3987960872836719,0.3987960872836719,0.0,0.236267870579383,0.3581640331075997,0.662528216704289,3.460331784903624,10,0.6364795918367347,0.8630549285176825,528.616,12.963862300350057,77.58164655115154,Halasuru Gate,WRONG PARKING,0.8278145695364238,10.632,0.3977547027840481,7.1929342212158,0.26541513166372405,0.9850039463299132,0.9104183109707972,0.8851617995264404,0.989147592738753,94.1327353887903,10,very high volume · junction-adjacent · chronic (active most days) · peak-exposed
8961892e9a3ffff,1577,126,0.5517438173747622,0.7410272669625871,0.0019023462270133,0.0031705770450221,0.0031705770450221,0.0,1.0,0.4273937856689918,0.4273937856689918,0.0,0.1509194673430564,0.3462270133164236,0.7295497780596069,3.2800148140238745,10,0.6614821591948765,0.9289790741915028,474.275,12.97962000577045,77.60710223500317,Shivajinagar,NO PARKING,0.8344370860927153,12.515873015873016,0.3007450856055802,7.363913501405819,0.23211774498911564,0.9885556432517758,0.8330702446724546,0.9625098658247829,0.98973954222573,94.1135625610415,11,very high volume · junction-adjacent · chronic (active most days) · peak-exposed
8960145b5cbffff,5992,150,0.563384512683578,0.7412383177570093,0.0040053404539385,0.0360480640854472,0.0,0.022863818424566,1.0,0.4277369826435247,0.4277369826435247,0.0,0.2421562082777036,0.3503004005340454,0.6718624833110814,3.5040834038720465,9,0.7171511627906977,0.8654873164218959,1694.932,12.97373525674976,77.5786676057273,Upparpet,NO PARKING,0.9933774834437086,39.946666666666665,0.2828658210947931,8.698347400458186,0.2475326326720637,0.9980268350434096,0.8705603788476717,0.9009471191791634,0.9986187845303868,94.02861454725542,12,very high volume · junction-adjacent · chronic (active most days) · peak-exposed
8961892e937ffff,3079,134,0.5642416368950958,1.1248132510555375,0.0038973692757388,0.0175381617408249,0.0019486846378694,0.0009743423189347,1.0,0.371224423514128,0.3367976615784345,0.0344267619356934,0.210133160116921,0.3254303345241962,0.6762260474179929,3.845985952088157,10,0.6165311653116531,0.9561545956479376,1324.263,12.983854847842013,77.60335562822718,Shivajinagar,WRONG PARKING,0.8874172185430463,22.97761194029851,0.4300951607664826,8.03268487596762,0.24350626782056536,0.9956590370955012,0.8614838200473559,0.9084451460142068,0.9921073401736386,93.76781242591935,13,very high volume · junction-adjacent · chronic (active most days) · peak-exposed
8961892e9afffff,646,103,0.5904024767801858,0.8126934984520123,0.0061919504643962,0.0263157894736842,0.0123839009287925,0.0170278637770897,1.0,0.3808049535603715,0.3808049535603715,0.0,0.2120743034055727,0.3730650154798761,0.6756965944272446,3.365159809325206,10,0.6368159203980099,0.9256965944272446,202.961,12.980879838559863,77.60459825197239,Shivajinagar,WRONG PARKING,0.6821192052980133,6.271844660194175,0.3141811145510835,6.472346294500901,0.2617391178319002,0.9629044988161011,0.9048934490923441,0.904498816101026,0.9765193370165746,93.66285196181127,14,very high volume · junction-adjacent · chronic (active most days) · peak-exposed
8960145b16bffff,1891,135,0.6012691697514543,0.6964569011105235,0.0021152829190904,0.0650449497620306,0.0021152829190904,0.0,1.0,0.3691168693812797,0.3659439450026441,0.0031729243786356,0.2755156002115282,0.2548915917503966,0.6339502908514013,3.654895913045521,8,0.6683417085427136,0.9074563722897938,521.186,12.997517550868926,77.54900010240515,Vijayanagara,WRONG PARKING,0.8940397350993378,14.007407407407408,0.275613960867266,7.545389749611823,0.2770441143070629,0.9905288082083662,0.9273875295974744,0.8291239147592738,0.9925019731649566,93.24376385776633,15,very high volume · junction-adjacent · chronic (active most days) · peak-exposed
8961892536bffff,297,41,0.6444444444444445,0.8801346801346801,0.0101010101010101,0.2592592592592592,0.0033670033670033,0.0639730639730639,0.9797979797979798,0.3468013468013468,0.3198653198653198,0.0269360269360269,0.0336700336700336,0.6734006734006734,0.7303030303030303,3.299451550427849,13,0.624390243902439,0.8686868686868687,126.835,12.966436543771044,77.64152168754208,Jeevanbheemanagar,NO PARKING,0.271523178807947,7.2439024390243905,0.427053872053872,5.697093486505405,0.3438138804486206,0.920678768745067,0.968034727703236,0.9609313338595107,0.8760852407261247,93.06994262935424,16,very high volume · junction-adjacent · main-road-heavy · chronic · peak-exposed
89618925c6fffff,256,56,0.598046875,0.750390625,0.00390625,0.14453125,0.00390625,0.01171875,1.0,0.25,0.22265625,0.02734375,0.05078125,0.51953125,0.723828125,3.3242803926473456,12,0.4711538461538461,0.9140625,89.53999999999999,12.93491819453125,77.6126630671875,Adugodi,NO PARKING,0.3708609271523179,4.571428571428571,0.3497656249999999,5.54907608489522,0.2916197793147614,0.9102209944751382,0.9400157853196527,0.9573796369376479,0.9116022099447514,92.95930916908546,17,very high volume · junction-adjacent · chronic · peak-exposed
8960145b5c3ffff,541,103,0.5855822550831793,0.8881700554528651,0.0055452865064695,0.0018484288354898,0.0,0.0,1.0,0.3585951940850277,0.3567467652495379,0.0018484288354898,0.1811460258780036,0.2920517560073937,0.6741219963031423,3.2980143996484164,9,0.6887417218543046,0.8354898336414048,186.719,12.97152617052692,77.57661924576573,City Market,WRONG PARKING,0.6821192052980133,5.252427184466019,0.3451367837338262,6.295266001439646,0.2513445758579429,0.9536306235201263,0.8823993685872139,0.9021310181531176,0.9765193370165746,92.78952684816659,18,very high volume · junction-adjacent · chronic (active most days) · peak-exposed
8961892e923ffff,681,101,0.5845814977973568,1.039060205580029,0.0044052863436123,0.0484581497797356,0.0014684287812041,0.0,0.9162995594713657,0.3494860499265785,0.3318649045521292,0.0176211453744493,0.2143906020558003,0.2980910425844346,0.6698972099853157,3.739946220611185,10,0.6536964980544747,0.9647577092511012,277.664,12.984545441531177,77.60317129133374,Shivajinagar,WRONG PARKING,0.6688741721854304,6.742574257425742,0.4077298091042584,6.525029657843462,0.24597809160307746,0.9656669297553275,0.8674033149171271,0.8970007892659826,0.9751381215469613,92.51813063430114,19,very high volume · junction-adjacent · chronic (active most days) · peak-exposed
8960145b553ffff,12123,151,0.5540377794275344,0.754672935741978,0.0110533696279798,0.0117132722923368,0.0003299513321785,0.0020621958261156,1.0,0.3890951084715005,0.3890126206384558,8.248783304462591e-05,0.2471335478016992,0.3560174874206054,0.648626577579807,3.6887278796770375,9,0.7335611756664389,0.8659572713024829,3166.522,12.976630847034562,77.57630610766313,Upparpet,NO PARKING,1.0,80.28476821192054,0.2611995380681349,9.402942238177694,0.2369958675758449,1.0,0.8453038674033149,0.8650355169692187,0.999605367008682,92.46318382583209,20,very high volume · junction-adjacent · chronic (active most days) · peak-exposed
