feature,importance
tr_mean,3.4458901032935416
roll7_mean,0.14620743853275905
y_lag1,0.09207630569667238
tr_std,0.06670404774212653
dow,0.05811089994541385
expw_mean,0.057104532771998694
roll14_mean,0.029943550250227435
dow_mean4,0.025178718890347885
tr_expo,0.014420825931748028
y_lag14,0.009928914219214935
tr_active,0.007843094611305812
y_lag7,0.00669774913878376
roll7_max,0.0066739670093610036
roll28_mean,0.003982615837594494
tr_obstruct,0.0033582723702433094
lon,0.0025876979480013774
tr_main_road,0.0020498055423336936
tr_heavy,0.0017292676252844252
lat,0.0012121535502540581
doy,0.0
month,0.0
is_weekend,-0.0001257045656203104
tr_junction,-0.0016764148993397398
dom,-0.011433960984567726
