h3_9,rec_win_start,rec_peak_hour,window_capture,rec_window,dom_location
8960144a2cbffff,5,6,1.0,05:00–07:00,"Mumbai Bengaluru Highway, Rajadhani Layout, Adakamaranahalli, Bengaluru, Karnataka. Pin-562162 (India)"
8960144a2dbffff,5,6,1.0,05:00–07:00,"Mumbai Bengaluru Highway, Rajadhani Layout, Adakamaranahalli, Bengaluru, Karnataka. Pin-562162 (India)"
8960144a64bffff,7,8,1.0,07:00–09:00,"Mumbai Bengaluru Highway, Makali, Bengaluru, Karnataka. Pin-562162 (India)"
8960144b4dbffff,4,5,1.0,04:00–06:00,"Maruti Mandir Road, MSPP Layout, Soladevanahalli, Bengaluru, Karnataka. Pin-560107 (India)"
8960144b5a3ffff,10,11,0.533,10:00–12:00,"Mumbai Bengaluru Highway, Alur Village, Bengaluru, Karnataka. Pin-562162 (India)"
8960144b5afffff,6,7,0.7,06:00–08:00,"Mumbai Bengaluru Highway, Rajadhani Layout, Adakamaranahalli, Bengaluru, Karnataka. Pin-562162 (India)"
8960144b5b3ffff,10,11,0.533,10:00–12:00,"Huskur Main Road, Makali, Bengaluru, Karnataka. Pin-562162 (India)"
89601451097ffff,8,9,1.0,08:00–10:00,"Vajarahalli Road, Pavamanapura, Bengaluru, Karnataka. Pin-560062 (India)"
896014511cbffff,5,6,1.0,05:00–07:00,"Vajarahalli Road, Block 7, Banashankari Stage 6, Bengaluru, Karnataka. Pin-560062 (India)"
89601451207ffff,11,11,1.0,11:00–13:00,"Sri Sri Sri Tiruchi Mahaswamiji Road, Subhash Chandrabose Nagar, BEML Layout Stage 5, Rajarajeshwari Nagar, Bengaluru, Karnataka. Pin-560098 (India)"
8960145120fffff,6,7,0.538,06:00–08:00,"2nd Cross Road, Janakshi Layout, Rajarajeshwari Nagar, Bengaluru, Karnataka. Pin-560098 (India)"
89601451233ffff,10,11,1.0,10:00–12:00,"Sri Sri Sri Tiruchi Mahaswamiji Road, Prakruthi Aroma, BEML Layout Stage 10, Rajarajeshwari Nagar, Bengaluru, Karnataka. Pin-560098 (India)"
8960145123bffff,6,7,1.0,06:00–08:00,"Sri Sri Sri Tiruchi Mahaswamiji Road, Janakshi Layout, Rajarajeshwari Nagar, Bengaluru, Karnataka. Pin-560098 (India)"
89601451257ffff,10,10,0.511,10:00–12:00,"Model Road, Krishnappa Block, BEML Layout Stage 3, Rajarajeshwari Nagar, Bengaluru, Karnataka. Pin-560098 (India)"
89601451263ffff,4,4,1.0,04:00–06:00,"Sri Sri Sri Tiruchi Mahaswamiji Road, Sai Shakthi Enclave, BEML Layout Stage 5, Rajarajeshwari Nagar, Bengaluru, Karnataka. Pin-560098 (India)"
8960145126bffff,3,4,1.0,03:00–05:00,"Sri Sri Sri Tiruchi Mahaswamiji Road, Halagevaderahalli, Rajarajeshwari Nagar, Bengaluru, Karnataka. Pin-560098 (India)"
89601451287ffff,10,11,1.0,10:00–12:00,"Dr Vishnuvardhan Main Road, Channasandra, Rajarajeshwari Nagar, Bengaluru, Karnataka. Pin-560098 (India)"
896014512a3ffff,11,12,0.75,11:00–13:00,"Sri Sri Sri Tiruchi Mahaswamiji Road, Srinivasapura Cross, Rajarajeshwari Nagar, Bengaluru, Karnataka. Pin-560098 (India)"
